sn,start_time,end_time,lat,lon,TB notes,Still active,data_start_time,data_end_time,analyse_start_time,analyse_end_time
MOD-PM-00097,2021-01-12 05:20:00,2024-01-15 11:56:00,53.48402,-2.270676,,No,2021-02-01 16:31:00,2024-01-15 11:56:00,2022-08-11 12:57:14,2024-01-15 11:56:00
MOD-PM-00342,2021-09-08 15:26:00,2024-06-07 20:36:00,53.504016,-2.217164,Delete data prioir to the 19th of April 2023,No,2021-09-08 20:59:00,2024-06-07 20:36:00,2023-04-19 12:27:34,2024-06-07 20:36:26
MOD-PM-00343,2021-09-08 15:28:00,2024-06-07 20:38:00,53.484843,-2.232818,,No,2021-09-08 20:22:00,2024-06-07 20:38:00,2023-02-01 10:51:32,2024-06-07 20:38:02
MOD-PM-00348,2021-09-08 15:36:00,2024-06-07 20:38:00,53.467837,-2.257569,,No,2021-09-08 20:27:00,2024-06-07 20:38:00,2022-07-13 12:27:27,2024-06-07 20:38:16
MOD-PM-00349,2021-09-08 15:38:00,2024-09-22 09:34:00,53.510109,-2.24355,TB location,Yes,2021-09-08 20:37:00,2024-09-13 15:42:00,2023-02-01 12:16:35,2024-08-31 23:59:59
MOD-00036,2021-12-05 10:59:00,2024-09-22 09:21:00,53.449677,-2.184382,Matthews Lane,Yes,2022-02-18 13:45:00,2024-09-13 15:56:00,2023-01-10 18:10:14,2024-08-31 23:59:59
MOD-00038,2021-12-05 11:09:00,2024-09-22 09:30:00,53.48163,-2.226486,,Yes,2022-02-18 13:57:00,2024-09-13 15:42:00,2022-02-18 13:57:04,2024-08-31 23:59:59
MOD-00039,2021-12-05 11:13:00,2024-09-22 09:27:00,53.48341,-2.25511,,Yes,2022-02-27 20:29:00,2024-09-13 15:44:00,2022-06-16 10:32:18,2024-08-31 23:59:59
MOD-00043,2021-12-05 11:25:00,2024-09-22 09:29:00,53.489555,-2.233949,Angel Medows,Yes ,2022-02-17 23:25:00,2024-09-13 15:54:00,2023-04-05 19:00:00,2024-08-31 23:59:59
MOD-PM-00426,2021-12-11 17:58:00,2024-07-28 10:23:00,53.540177,-2.650876,,No,2021-12-11 18:37:00,2024-07-28 10:23:00,2022-07-13 10:40:25,2024-07-28 10:23:10
MOD-PM-00427,2021-12-11 18:16:00,2023-08-13 08:46:00,53.480821,-2.232823,,No,2021-12-13 22:04:00,2023-08-13 08:46:00,2022-02-21 14:55:39,2023-08-13 08:46:02
MOD-PM-00429,2021-12-11 18:27:00,2022-09-05 23:55:00,53.5618,-2.409304,,No,2021-12-13 22:12:00,2022-09-05 23:55:00,2022-05-05 10:12:03,2022-09-05 23:55:02
MOD-PM-00430,2021-12-11 18:35:00,2024-09-22 09:32:00,53.442647,-2.218526,,Yes,2021-12-13 22:08:00,2024-09-13 15:55:00,2022-08-10 09:49:23,2024-08-31 23:59:59
